zaroni,location,total_sqft,society,status,transaction,furnishing,parking,bath,price
6554,1 BHK Apartment for Sale in Kandivali West Mumbai,290 sqft,,Ready to Move,Resale,Unfurnished,,1,75 Lac 
6555,2 BHK Apartment for Sale in Kandivali West Mumbai,628 sqft,,ConstructionPoss. by Dec '23,New Property,Unfurnished,,2,1.67 Cr 
6556,2 BHK Apartment for Sale in Kandivali West Mumbai,725 sqft,,,New Property,Unfurnished,1 Covered,2,2.10 Cr 
6557,1 BHK Apartment for Sale in Kandivali West Mumbai,385 sqft,,Ready to Move,Resale,Semi-Furnished,1 Covered,2,1.15 Cr 
6558,2 BHK Apartment for Sale in Kandivali West Mumbai,670 sqft,,Ready to Move,Resale,Unfurnished,1 Open,2,1.11 Cr 
6559,4 BHK Penthouse for Sale in Kandivali West Mumbai,1788 sqft,,Ready to Move,New Property,Unfurnished,3 Covered,5,6.44 Cr 
6560,1 BHK Apartment for Sale in Kandivali West Mumbai,340 sqft,,Ready to Move,Resale,Semi-Furnished,1 Open,1,74.9 Lac 
6561,4 BHK Penthouse for Sale in Kandivali West Mumbai,1855 sqft,,Ready to Move,New Property,Unfurnished,3 Covered,4,6.51 Cr 
6562,3 BHK Apartment for Sale in Kandivali West Mumbai,700 sqft,,Ready to Move,Resale,Unfurnished,,2,1.75 Cr 
6563,2 BHK Apartment for Sale in Kandivali West Mumbai,724 sqft,,ConstructionPoss. by Jun '26,New Property,Unfurnished,1 Covered,2,1.95 Cr 
6564,2 BHK Apartment for Sale in Kandivali West Mumbai,850 sqft,,Ready to Move,Resale,Unfurnished,1 Open,2,1.90 Cr 
6565,2 BHK Apartment for Sale in Kandivali West Mumbai,715 sqft,,ConstructionPoss. by Mar '24,New Property,Unfurnished,1 Covered,2,1.51 Cr 
6566,2 BHK Apartment for Sale in Kandivali West Mumbai,685 sqft,,ConstructionPoss. by Mar '25,New Property,Unfurnished,1 Covered,2,1.75 Cr 
6567,2 BHK Apartment for Sale in Kandivali West Mumbai,,Kiran Kunj,Ready to Move,Resale,Furnished,1 Open,2,1.25 Cr 
6568,2 BHK Apartment for Sale in Kandivali West Mumbai,,Vimal Apartment,Ready to Move,Resale,Unfurnished,,1,85 Lac 
